Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,processed_description,exercise_type,muscle_group,equipment,difficulty,key_fitness_terms
1796,Band overhead squat,"The band overhead squat is a full-body, functional movement that works to build full-body strength and stability. It is a variation of the classic barbell exercise and can be used to train core strength and stability for Olympic weightlifting or CrossFit.",Strength,Quadriceps,Bands,Intermediate,,,band overhead squat full body functional movement works build full body strength stability variation classic barbell exercise used train core strength stability olympic weightlifting crossfit,Strength,Quadriceps,Bands,Intermediate,"['band', 'squat', 'full', 'body', 'movement', 'build', 'full', 'body', 'strength', 'variation', 'classic', 'barbell', 'exercise', 'used', 'core', 'strength']"
1797,Quadriceps SMR,"Quadriceps self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the quad muscles of the upper leg, some people find they can cause this often painful and tight muscle group to relax or ""release."" Quadriceps SMR is often accompanied by SMR on the calf, glute, or hip muscles, or by stretches that target the calves or quads.",Stretching,Quadriceps,Foam Roll,Intermediate,5.4,Average,quadriceps self myofascial release smr self administered soft tissue treatment lower body usually using foam roller lacrosse ball trigger point massage tool applying pressure strategically quad muscles upper leg people find cause often painful tight muscle group relax release quadriceps smr often accompanied smr calf glute hip muscles stretches target calves quads,Stretching,Quadriceps,Foam Roll,Intermediate,"['lower', 'body', 'using', 'ball', 'muscles', 'upper', 'leg', 'muscle', 'muscles', 'target', 'quads']"
1798,Clean from Blocks,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.5,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1799,Barbell Full Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,9.4,Average,barbell back squat popular compound movement emphasizes building lower body muscle groups overall strength classic way start leg day worthy centerpiece lower body training program squat competitive lift sport powerlifting also classic measurement lower body strength barbell racked traps upper back emphasis placed posterior chain entire body gets worked back squat trained everything heavy singles sets 20 reps higher,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'popular', 'movement', 'building', 'lower', 'body', 'muscle', 'strength', 'classic', 'leg', 'lower', 'body', 'training', 'squat', 'classic', 'lower', 'body', 'strength', 'barbell', 'upper', 'body', 'squat', 'reps', 'higher']"
1800,Barbell back squat to box,"The barbell back squat to box is a popular version of a classic lower-body exercise that utilizes a box at the bottom position of the movement. This allows the lifter to customize the depth of the squat, as well as limit the stretch reflex at the bottom of the squat. The movement targets the quadriceps, glutes, and hamstrings. The squat to box can be performed for low reps to build strength or power, or for higher reps to build muscle.",Powerlifting,Quadriceps,Barbell,Intermediate,9.3,Average,barbell back squat box popular version classic lower body exercise utilizes box bottom position movement allows lifter customize depth squat well limit stretch reflex bottom squat movement targets quadriceps glutes hamstrings squat box performed low reps build strength power higher reps build muscle,Powerlifting,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'popular', 'classic', 'lower', 'body', 'exercise', 'position', 'movement', 'squat', 'stretch', 'squat', 'movement', 'targets', 'glutes', 'hamstrings', 'squat', 'performed', 'low', 'reps', 'build', 'strength', 'power', 'higher', 'reps', 'build', 'muscle']"
1801,Push-press,"The push-press is an overhead press variation in which the barbell is pushed upward with assistance from the lower body. This ""push"" helps the weight travel through the sticking point of a strict press. The push-press is commonly performed as part of barbell complexes, power training for all types of athletics, or as a powerful shoulder exercise.",Olympic Weightlifting,Quadriceps,Barbell,Intermediate,9.3,Average,push press overhead press variation barbell pushed upward assistance lower body push helps weight travel sticking point strict press push press commonly performed part barbell complexes power training types athletics powerful shoulder exercise,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,"['push', 'press', 'press', 'variation', 'barbell', 'lower', 'body', 'push', 'weight', 'press', 'push', 'press', 'performed', 'part', 'barbell', 'power', 'training', 'shoulder', 'exercise']"
1802,Power snatch-,"The power snatch is a full-body lift in which the bar is pulled from the floor with a wide grip to the overhead position in one movement. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power snatch can be used as a learning tool for the full snatch, or to train muscular power and strength on its own. It is usually performed for low reps, focusing on power and movement quality.",Olympic Weightlifting,Quadriceps,Barbell,Expert,9.3,Average,power snatch full body lift bar pulled floor wide grip overhead position one movement bar received power position hips higher full depth squat position power snatch used learning tool full snatch train muscular power strength usually performed low reps focusing power movement quality,Olympic Weightlifting,Quadriceps,Barbell,Expert,"['power', 'full', 'body', 'bar', 'floor', 'grip', 'position', 'movement', 'bar', 'power', 'position', 'higher', 'full', 'squat', 'position', 'power', 'used', 'full', 'power', 'strength', 'performed', 'low', 'reps', 'power', 'movement']"
1803,Hang Clean,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.3,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1804,Barbell walking lunge,"The barbell walking lunge tests your ability to maintain balance while challenging the quads, glutes, and hamstrings as well as the core muscles. Using a barbell allows you to overload the exercise. It can be performed for moderate reps, such as 8-15 per set or across the gym, or for higher reps as a conditioning and mental toughness challenge.",Strength,Quadriceps,Barbell,Intermediate,9.2,Average,barbell walking lunge tests ability maintain balance challenging quads glutes hamstrings well core muscles using barbell allows overload exercise performed moderate reps 8 15 per set across gym higher reps conditioning mental toughness challenge,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'lunge', 'quads', 'glutes', 'hamstrings', 'core', 'muscles', 'using', 'barbell', 'exercise', 'performed', 'moderate', 'reps', 'set', 'higher', 'reps', 'conditioning']"
1805,Olympic Squat,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,9.1,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1806,Narrow-stance squat,"The narrow-stance squat is an exercise that targets the lower body with an emphasis on the quads. Many people will find they can't go as deep in a narrow-stance squat as with a wider squat, which is normal. The narrow-stance squat can be performed for time or reps in any workout.",Strength,Quadriceps,Barbell,Expert,9.0,Average,narrow stance squat exercise targets lower body emphasis quads many people find go deep narrow stance squat wider squat normal narrow stance squat performed time reps workout,Strength,Quadriceps,Barbell,Expert,"['squat', 'exercise', 'targets', 'lower', 'body', 'quads', 'many', 'squat', 'squat', 'squat', 'performed', 'time', 'reps', 'workout']"
1807,Box Squat with Bands,,Powerlifting,Quadriceps,Barbell,Beginner,9.0,Average,,Powerlifting,Quadriceps,Barbell,Beginner,[]
1808,Weighted Jump Squat,,Strength,Quadriceps,Barbell,Beginner,9.0,Average,,Strength,Quadriceps,Barbell,Beginner,[]
1809,Squat with Chains,,Powerlifting,Quadriceps,Barbell,Beginner,9.0,Average,,Powerlifting,Quadriceps,Barbell,Beginner,[]
1810,Barbell Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,8.9,Average,barbell back squat popular compound movement emphasizes building lower body muscle groups overall strength classic way start leg day worthy centerpiece lower body training program squat competitive lift sport powerlifting also classic measurement lower body strength barbell racked traps upper back emphasis placed posterior chain entire body gets worked back squat trained everything heavy singles sets 20 reps higher,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'popular', 'movement', 'building', 'lower', 'body', 'muscle', 'strength', 'classic', 'leg', 'lower', 'body', 'training', 'squat', 'classic', 'lower', 'body', 'strength', 'barbell', 'upper', 'body', 'squat', 'reps', 'higher']"
1811,Barbell front squat,"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Quadriceps,Barbell,Intermediate,8.9,Average,barbell front squat compound movement emphasizes building lower body muscle groups barbell racked front body anterior delts front squat emphasizes quads glutes also upper back core strength remain upright front squats trained alternative back squats accessory movement either squats deadlifts strength muscle many lifters athletes prefer back squats although uncomfortable difficult learn first,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'front', 'squat', 'movement', 'building', 'lower', 'body', 'muscle', 'barbell', 'front', 'body', 'front', 'squat', 'quads', 'glutes', 'upper', 'core', 'strength', 'front', 'movement', 'strength', 'muscle', 'many']"
1812,Barbell forward lunge,"The barbell forward lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The forward lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Quadriceps,Barbell,Expert,8.8,Average,barbell forward lunge popular lower body exercise targeting quads glutes hamstrings using barbell allows overload exercise beyond body weight perform movement strength muscle focused rep ranges forward lunge performed part barbell complex circuit lower body portion workout,Strength,Quadriceps,Barbell,Expert,"['barbell', 'lunge', 'popular', 'lower', 'body', 'exercise', 'targeting', 'quads', 'glutes', 'hamstrings', 'using', 'barbell', 'exercise', 'body', 'weight', 'movement', 'strength', 'muscle', 'focused', 'rep', 'ranges', 'lunge', 'performed', 'part', 'barbell', 'circuit', 'lower', 'body', 'portion', 'workout']"
1813,Smith machine box squat,"The Smith machine box squat is a machine-based exercise targeting the quads, glutes, and hamstrings. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or power or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Quadriceps,Barbell,Intermediate,8.8,Average,smith machine box squat machine based exercise targeting quads glutes hamstrings smith machine mimics barbell provides stability movement programmed low reps strength power higher reps muscle strength endurance often performed moderate high reps 8 12 reps per set part full body lower body workout,Strength,Quadriceps,Barbell,Intermediate,"['machine', 'squat', 'machine', 'exercise', 'targeting', 'quads', 'glutes', 'hamstrings', 'machine', 'barbell', 'movement', 'low', 'reps', 'strength', 'power', 'higher', 'reps', 'muscle', 'strength', 'performed', 'moderate', 'high', 'reps', 'reps', 'set', 'part', 'full', 'body', 'lower', 'body', 'workout']"
1814,Barbell step-up,"The barbell step-up is a great exercise for building lower-body strength and power. It targets all the same muscles as bodyweight step-ups, such as the quads, glutes, and hamstrings, but allows for greater muscular overload.",Strength,Quadriceps,Barbell,Intermediate,8.7,Average,barbell step great exercise building lower body strength power targets muscles bodyweight step ups quads glutes hamstrings allows greater muscular overload,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'exercise', 'building', 'lower', 'body', 'strength', 'power', 'targets', 'muscles', 'bodyweight', 'quads', 'glutes', 'hamstrings']"
1815,Barbell Bulgarian split squat,"The barbell Bulgarian split squat is a single-leg exercise targeting the quads, glutes, and hamstrings. It is easier to overload with the barbell than when using dumbbells. If balance is an issue, consider using a Smith machine or holding dumbbells at your side instead.",Strength,Quadriceps,Barbell,Intermediate,8.5,Average,barbell bulgarian split squat single leg exercise targeting quads glutes hamstrings easier overload barbell using dumbbells balance issue consider using smith machine holding dumbbells side instead,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'single', 'leg', 'exercise', 'targeting', 'quads', 'glutes', 'hamstrings', 'barbell', 'using', 'using', 'machine', 'side']"
1816,Hang Clean - Below the Knees,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,8.5,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1817,Barbell hack squat,"The barbell hack squat is a variety of deadlift performed with the barbell behind the legs. This forces the lifter into a body position similar to a squat and targets the quads and glutes. It is named after famed strongman George Hackenschmidt, who performed it as an overall leg-building exercise. The barbell hack squat can be used as a substitute for the machine hack squat, or as a lower-body strength and size movement on its own.",Strength,Quadriceps,Barbell,Expert,8.5,Average,barbell hack squat variety deadlift performed barbell behind legs forces lifter body position similar squat targets quads glutes named famed strongman george hackenschmidt performed overall leg building exercise barbell hack squat used substitute machine hack squat lower body strength size movement,Strength,Quadriceps,Barbell,Expert,"['barbell', 'squat', 'deadlift', 'performed', 'barbell', 'legs', 'body', 'position', 'squat', 'targets', 'quads', 'glutes', 'performed', 'leg', 'building', 'exercise', 'barbell', 'squat', 'used', 'machine', 'squat', 'lower', 'body', 'strength', 'movement']"
1818,Hack Squat,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Barbell,Intermediate,8.4,Average,hack squat machine based exercise targets muscles legs particularly quadriceps often used accessory squats also main lower body movement workout often performed moderate high reps 8 12 reps per set,Strength,Quadriceps,Barbell,Intermediate,"['squat', 'machine', 'exercise', 'targets', 'muscles', 'legs', 'used', 'lower', 'body', 'movement', 'workout', 'performed', 'moderate', 'high', 'reps', 'reps', 'set']"
1819,Barbell thruster,"The barbell thruster is a full-body exercise that incorporates both squatting and pressing in one functional movement. It's especially common in contemporary CrossFit workouts, but also in general strength training. The barbell is usually cleaned into place first, but it could be performed taken from a squat rack in a front-rack position. The thruster can be performed in traditional strength-focused rep ranges to build strength in the press, or in higher reps for full-body conditioning.",Strength,Quadriceps,Barbell,Intermediate,8.3,Average,barbell thruster full body exercise incorporates squatting pressing one functional movement especially common contemporary crossfit workouts also general strength training barbell usually cleaned place first could performed taken squat rack front rack position thruster performed traditional strength focused rep ranges build strength press higher reps full body conditioning,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'full', 'body', 'exercise', 'movement', 'workouts', 'strength', 'training', 'barbell', 'performed', 'squat', 'front', 'position', 'performed', 'traditional', 'strength', 'focused', 'rep', 'ranges', 'build', 'strength', 'press', 'higher', 'reps', 'full', 'body', 'conditioning']"
1820,Split Jerk,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,8.3,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1821,Push-jerk,"The push-jerk is a movement in which the barbell is pushed from the front rack position to overhead with help from the legs. It differs from the push-press in that the lifter dips under the bar rather than simply pushing it up. It is popular in CrossFit workouts and Olympic weightlifting, as well as power training for athletics. It is usually performed for low reps, focusing on power and movement quality.",Olympic Weightlifting,Quadriceps,Barbell,Intermediate,8.2,Average,push jerk movement barbell pushed front rack position overhead help legs differs push press lifter dips bar rather simply pushing popular crossfit workouts olympic weightlifting well power training athletics usually performed low reps focusing power movement quality,Olympic Weightlifting,Quadriceps,Barbell,Intermediate,"['push', 'movement', 'barbell', 'front', 'position', 'legs', 'push', 'press', 'bar', 'popular', 'workouts', 'power', 'training', 'performed', 'low', 'reps', 'power', 'movement']"
1822,Barbell back squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,8.2,Average,barbell back squat popular compound movement emphasizes building lower body muscle groups overall strength classic way start leg day worthy centerpiece lower body training program squat competitive lift sport powerlifting also classic measurement lower body strength barbell racked traps upper back emphasis placed posterior chain entire body gets worked back squat trained everything heavy singles sets 20 reps higher,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'popular', 'movement', 'building', 'lower', 'body', 'muscle', 'strength', 'classic', 'leg', 'lower', 'body', 'training', 'squat', 'classic', 'lower', 'body', 'strength', 'barbell', 'upper', 'body', 'squat', 'reps', 'higher']"
1823,Zercher squat,The Zercher squat is a barbell exercise in which the bar is placed in the crease of your elbows as you perform a normal squat. This movement can be awkward at first but is extremely effective in building both size and strength.,Strength,Quadriceps,Barbell,Intermediate,8.1,Average,zercher squat barbell exercise bar placed crease elbows perform normal squat movement awkward first extremely effective building size strength,Strength,Quadriceps,Barbell,Intermediate,"['squat', 'barbell', 'exercise', 'bar', 'squat', 'movement', 'building', 'strength']"
1824,Jefferson Squats,,Strength,Quadriceps,Barbell,Beginner,8.0,Average,,Strength,Quadriceps,Barbell,Beginner,[]
1825,Jerk Dip Squat,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,8.0,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1826,Barbell side split squat,"The barbell side split squat is a variation of the split squat that targets the lower body, specifically the quads, and requires good hip mobility.",Strength,Quadriceps,Barbell,Intermediate,7.8,Average,barbell side split squat variation split squat targets lower body specifically quads requires good hip mobility,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'side', 'squat', 'variation', 'squat', 'targets', 'lower', 'body', 'quads']"
1827,Frankenstein Squat,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,7.7,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1828,Barbell speed squat,"The barbell speed squat targets the lower-body muscle groups using lighter weights to perform fast-paced back squats. Speed squats are popular in certain powerlifting training methodologies as a way to engrain form and lifting speed that can carry over to max-effort lifts. In this approach, they are usually performed in numerous sets of 3-5 reps with adequate rest in between. Speed squats are also sometimes performed with bands or chains adding extra resistance to the top half of the lift.",Strength,Quadriceps,Barbell,Intermediate,7.7,Average,barbell speed squat targets lower body muscle groups using lighter weights perform fast paced back squats speed squats popular certain powerlifting training methodologies way engrain form lifting speed carry max effort lifts approach usually performed numerous sets 3 5 reps adequate rest speed squats also sometimes performed bands chains adding extra resistance top half lift,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'targets', 'lower', 'body', 'muscle', 'using', 'popular', 'training', 'performed', 'reps', 'performed']"
1829,Single-arm side deadlift,"The single-arm side deadlift is a compound exercise that strengthens the glutes, quads, hamstrings, back, and core. It has more of a core stability and anti-rotational component than other deadlift variations. The side deadlift is usually done for low to moderate reps, such as 5-8 reps per side, with a focus on posture and movement quality.",Strength,Quadriceps,Barbell,Expert,7.5,Average,single arm side deadlift compound exercise strengthens glutes quads hamstrings back core core stability anti rotational component deadlift variations side deadlift usually done low moderate reps 5 8 reps per side focus posture movement quality,Strength,Quadriceps,Barbell,Expert,"['single', 'arm', 'side', 'deadlift', 'exercise', 'glutes', 'quads', 'hamstrings', 'core', 'core', 'deadlift', 'side', 'deadlift', 'done', 'low', 'moderate', 'reps', 'reps', 'side', 'movement']"
1830,Barbell Squat To A Bench,"The barbell back squat to box takes a classic compound exercise for developing the lower body and adds the box element. Muscles worked include the quads, hips, glutes, and upper hamstrings.",Strength,Quadriceps,Barbell,Intermediate,7.4,Average,barbell back squat box takes classic compound exercise developing lower body adds box element muscles worked include quads hips glutes upper hamstrings,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'classic', 'exercise', 'lower', 'body', 'muscles', 'quads', 'glutes', 'upper', 'hamstrings']"
1831,Clean Pull,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,7.2,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1832,Front Barbell Squat To A Bench,,Strength,Quadriceps,Barbell,Beginner,5.3,Average,,Strength,Quadriceps,Barbell,Beginner,[]
1833,Barbell reverse lunge,"The barbell reverse lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The reverse lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.",Strength,Quadriceps,Barbell,Intermediate,0.0,Average,barbell reverse lunge popular lower body exercise targeting quads glutes hamstrings using barbell allows overload exercise beyond body weight perform movement strength muscle focused rep ranges reverse lunge performed part barbell complex circuit lower body portion workout,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'lunge', 'popular', 'lower', 'body', 'exercise', 'targeting', 'quads', 'glutes', 'hamstrings', 'using', 'barbell', 'exercise', 'body', 'weight', 'movement', 'strength', 'muscle', 'focused', 'rep', 'ranges', 'lunge', 'performed', 'part', 'barbell', 'circuit', 'lower', 'body', 'portion', 'workout']"
1834,Split Clean,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1835,Close-stance dumbbell front squat,"The close-stance dumbbell front squat is a popular exercise for targeting the muscles of the lower body, the quadriceps in particular. Holding dumbbells in the racked position also works the core and upper-back muscles to maintain posture while the lower body moves. Because the amount of weight you can use will be limited by what you can clean to the rack position, this movement is usually performed for moderate to high reps, at least 8-12 reps per set or more. If this movement hurts your knees, try performing it with a wider stance.",Strength,Quadriceps,Barbell,Intermediate,0.0,,close stance dumbbell front squat popular exercise targeting muscles lower body quadriceps particular holding dumbbells racked position also works core upper back muscles maintain posture lower body moves amount weight use limited clean rack position movement usually performed moderate high reps least 8 12 reps per set movement hurts knees try performing wider stance,Strength,Quadriceps,Barbell,Intermediate,"['dumbbell', 'front', 'squat', 'popular', 'exercise', 'targeting', 'muscles', 'lower', 'body', 'position', 'core', 'upper', 'muscles', 'lower', 'body', 'weight', 'position', 'movement', 'performed', 'moderate', 'high', 'reps', 'reps', 'set', 'movement']"
1836,Front Squat (Clean Grip),,Strength,Quadriceps,Barbell,Beginner,0.0,Average,,Strength,Quadriceps,Barbell,Beginner,[]
1837,Barbell front squat to back squat,"The barbell front squat to back squat is a complex that combines two fundamental barbell squat movements with a press in between to build overall strength, coordination, and endurance. This combo hits every muscle in the lower body, but also seriously challenges the upper-body musculature to control and transition the weight.",Strength,Quadriceps,Barbell,Intermediate,0.0,,barbell front squat back squat complex combines two fundamental barbell squat movements press build overall strength coordination endurance combo hits every muscle lower body also seriously challenges upper body musculature control transition weight,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'front', 'squat', 'squat', 'barbell', 'squat', 'press', 'build', 'strength', 'muscle', 'lower', 'body', 'upper', 'body', 'weight']"
1838,Squat Jerk,,Strength,Quadriceps,Barbell,Beginner,0.0,Average,,Strength,Quadriceps,Barbell,Beginner,[]
1839,Barbell Front-To-Back Squat,"The barbell front squat to back squat is a complex that combines two fundamental barbell squat movements with a press in between to build overall strength, coordination, and endurance. This combo hits every muscle in the lower body, but also seriously challenges the upper-body musculature to control and transition the weight.",Strength,Quadriceps,Barbell,Intermediate,0.0,,barbell front squat back squat complex combines two fundamental barbell squat movements press build overall strength coordination endurance combo hits every muscle lower body also seriously challenges upper body musculature control transition weight,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'front', 'squat', 'squat', 'barbell', 'squat', 'press', 'build', 'strength', 'muscle', 'lower', 'body', 'upper', 'body', 'weight']"
1840,Box Squat with Chains,,Strength,Quadriceps,Barbell,Beginner,0.0,Average,,Strength,Quadriceps,Barbell,Beginner,[]
1841,Snatch from Blocks,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1842,Power Snatch from Blocks,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1843,Front Squat (Bodybuilder),"The barbell front squat is a compound movement that emphasizes building the lower-body muscle groups. With the barbell racked in front of the body on the anterior delts, the front squat emphasizes the quads and glutes, but also upper back and core strength to remain upright. Front squats can be trained as an alternative to back squats, as an accessory movement for either squats or deadlifts, or for strength and muscle on their own. Many lifters and athletes prefer them to back squats, although they can be uncomfortable and difficult to learn at first.",Strength,Quadriceps,Barbell,Intermediate,0.0,Average,barbell front squat compound movement emphasizes building lower body muscle groups barbell racked front body anterior delts front squat emphasizes quads glutes also upper back core strength remain upright front squats trained alternative back squats accessory movement either squats deadlifts strength muscle many lifters athletes prefer back squats although uncomfortable difficult learn first,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'front', 'squat', 'movement', 'building', 'lower', 'body', 'muscle', 'barbell', 'front', 'body', 'front', 'squat', 'quads', 'glutes', 'upper', 'core', 'strength', 'front', 'movement', 'strength', 'muscle', 'many']"
1844,Barbell step-down reverse lunge,"The barbell step-down reverse lunge is an exercise targeting the lower body, particularly the glutes and hamstrings. The front foot is slightly elevated during this movement, making the subsequent step-down more pronounced and difficult. These are usually performed for time or for relatively high reps, such as 10 reps or more per set.",Strength,Quadriceps,Barbell,Intermediate,0.0,,barbell step reverse lunge exercise targeting lower body particularly glutes hamstrings front foot slightly elevated movement making subsequent step pronounced difficult usually performed time relatively high reps 10 reps per set,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'lunge', 'exercise', 'targeting', 'lower', 'body', 'glutes', 'hamstrings', 'front', 'movement', 'performed', 'time', 'high', 'reps', 'reps', 'set']"
1845,Squat with Bands,,Powerlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Powerlifting,Quadriceps,Barbell,Beginner,[]
1846,Heaving Snatch Balance,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1847,Snatch Balance,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Olympic Weightlifting,Quadriceps,Barbell,Beginner,[]
1848,Reverse Band Power Squat,,Powerlifting,Quadriceps,Barbell,Beginner,0.0,Average,,Powerlifting,Quadriceps,Barbell,Beginner,[]
1849,Paul Carter Back Squat,"The barbell back squat is a popular compound movement that emphasizes building the lower-body muscle groups and overall strength. It's the classic way to start a leg day, and is a worthy centerpiece to a lower-body training program. The squat is a competitive lift in the sport of powerlifting, but is also a classic measurement of lower-body strength. With the barbell racked on the traps or upper back, the emphasis is placed on the posterior chain but the entire body gets worked. The back squat can be trained in everything from heavy singles to sets of 20 reps or higher.",Strength,Quadriceps,Barbell,Intermediate,,,barbell back squat popular compound movement emphasizes building lower body muscle groups overall strength classic way start leg day worthy centerpiece lower body training program squat competitive lift sport powerlifting also classic measurement lower body strength barbell racked traps upper back emphasis placed posterior chain entire body gets worked back squat trained everything heavy singles sets 20 reps higher,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'popular', 'movement', 'building', 'lower', 'body', 'muscle', 'strength', 'classic', 'leg', 'lower', 'body', 'training', 'squat', 'classic', 'lower', 'body', 'strength', 'barbell', 'upper', 'body', 'squat', 'reps', 'higher']"
1850,Paul Carter Barbell Split Squat,"The barbell Bulgarian split squat is a single-leg, full-body exercise targeting the quads, glutes, and hamstrings. It is easier to overload with the barbell as opposed to using dumbbells.",Strength,Quadriceps,Barbell,Intermediate,,,barbell bulgarian split squat single leg full body exercise targeting quads glutes hamstrings easier overload barbell opposed using dumbbells,Strength,Quadriceps,Barbell,Intermediate,"['barbell', 'squat', 'single', 'leg', 'full', 'body', 'exercise', 'targeting', 'quads', 'glutes', 'hamstrings', 'barbell', 'using']"
